RecordID,Country,Gender,Demographics Question,Demographics Response,Question,Year,Value,Population
1,Afghanistan,F,Marital status,Never married,... if she burns the food,2015,0.03967246026562371,33753500
1,Afghanistan,F,Education,Higher,... if she burns the food,2015,-0.6030179344598138,33753500
1,Afghanistan,F,Education,Secondary,... if she burns the food,2015,-0.36356886933497445,33753500
1,Afghanistan,F,Education,Primary,... if she burns the food,2015,-0.35691750641483994,33753500
1,Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she burns the food,2015,-0.35691750641483994,33753500
1,Afghanistan,F,Employment,Employed for kind,... if she burns the food,2015,-0.1440738929705383,33753500
1,Afghanistan,F,Age,15-24,... if she burns the food,2015,-0.12411980421013498,33753500
1,Afghanistan,F,Employment,Unemployed,... if she burns the food,2015,-0.07756026376919403,33753500
1,Afghanistan,F,Residence,Rural,... if she burns the food,2015,-0.07090890084905951,33753500
1,Afghanistan,F,Age,25-34,... if she burns the food,2015,-0.06425753792892523,33753500
1,Afghanistan,F,Marital status,Married or living together,... if she burns the food,2015,-0.05760617500879071,33753500
1,Afghanistan,F,Residence,Urban,... if she burns the food,2015,-0.05760617500879071,33753500
1,Afghanistan,F,Age,35-49,... if she burns the food,2015,-0.024349360408118567,33753500
1,Afghanistan,F,Education,No education,... if she burns the food,2015,-0.004395271647715239,33753500
1,Afghanistan,F,Employment,Employed for cash,... if she burns the food,2015,0.10867789799456998,33753500
1,Afghanistan,M,Marital status,Never married,... if she burns the food,2015,0.03967246026562371,33753500
1,Afghanistan,M,Education,Higher,... if she burns the food,2015,-0.9754942579873418,33753500
1,Afghanistan,M,Residence,Urban,... if she burns the food,2015,-0.9688428950672073,33753500
1,Afghanistan,M,Employment,Unemployed,... if she burns the food,2015,-0.9289347175464008,33753500
1,Afghanistan,M,Education,Primary,... if she burns the food,2015,-0.855769725424922,33753500
1,Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she burns the food,2015,-0.855769725424922,33753500
1,Afghanistan,M,Education,Secondary,... if she burns the food,2015,-0.8025588220638467,33753500
1,Afghanistan,M,Age,25-34,... if she burns the food,2015,-0.729393829942368,33753500
1,Afghanistan,M,Employment,Employed for cash,... if she burns the food,2015,-0.7160911041020991,33753500
1,Afghanistan,M,Marital status,Married or living together,... if she burns the food,2015,-0.7094397411819646,33753500
1,Afghanistan,M,Age,35-49,... if she burns the food,2015,-0.7027883782618303,33753500
1,Afghanistan,M,Age,15-24,... if she burns the food,2015,-0.6495774749007548,33753500
1,Afghanistan,M,Residence,Rural,... if she burns the food,2015,-0.6296233861403515,33753500
1,Afghanistan,M,Education,No education,... if she burns the food,2015,-0.5697611198591417,33753500
1,Afghanistan,M,Employment,Employed for kind,... if she burns the food,2015,-0.5631097569390073,33753500
71,Afghanistan,F,Age,15-24,... if she argues with him,2015,2.5497280896839047,33753500
71,Afghanistan,F,Age,25-34,... if she argues with him,2015,2.7160121626872655,33753500
71,Afghanistan,F,Age,35-49,... if she argues with him,2015,2.7027094368469964,33753500
141,Afghanistan,F,Age,15-24,... if she goes out without telling him,2015,3.2281671075376166,33753500
141,Afghanistan,F,Age,35-49,... if she goes out without telling him,2015,3.028626219933584,33753500
211,Afghanistan,F,Age,15-24,... if she neglects the children,2015,1.8180781684691179,33753500
211,Afghanistan,F,Age,25-34,... if she neglects the children,2015,2.064178596514092,33753500
211,Afghanistan,F,Age,35-49,... if she neglects the children,2015,1.9244999751912688,33753500
281,Afghanistan,F,Age,15-24,... if she refuses to have sex with him,2015,0.8602819079697603,33753500
281,Afghanistan,F,Age,25-34,... if she refuses to have sex with him,2015,1.0066118922127174,33753500
281,Afghanistan,F,Age,35-49,... if she refuses to have sex with him,2015,0.9534009888516423,33753500
